Results of cspell linter (version 4.1.3)
See documentation on https://nvuillam.github.io/mega-linter/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /tmp/lint
Linter raw log:
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:11910 - Unknown word (QAAA)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:11915 - Unknown word (OAAO)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:11940 - Unknown word (SAAS)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:11976 - Unknown word (CAAI)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:11981 - Unknown word (CAAW)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12038 - Unknown word (QAAA)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12065 - Unknown word (SAAS)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12080 - Unknown word (CAAW)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12121 - Unknown word (SAAS)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12137 - Unknown word (QAAA)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12142 - Unknown word (SAAS)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12179 - Unknown word (CAAY)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12200 - Unknown word (OAAO)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12205 - Unknown word (QACN)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12220 - Unknown word (YACL)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12240 - Unknown word (CAAW)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12366 - Unknown word (CAAW)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12468 - Unknown word (KACD)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:12493 - Unknown word (AAPY)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:14596 - Unknown word (IAAY)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:15822 - Unknown word (CAAK)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:15827 - Unknown word (EAAY)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:16150 - Unknown word (Vivier)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:16158 - Unknown word (lanathlor)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:16546 - Unknown word (Vivier)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:16554 - Unknown word (lanathlor)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:17518 - Unknown word (EAAW)
/tmp/lint/.nyc_output/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:17528 - Unknown word (GAAW)
/tmp/lint/.nyc_output/processinfo/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:59 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:150 - Unknown word (lanath)
