Results of cspell linter (version 4.1.3)
See documentation on https://nvuillam.github.io/mega-linter/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /tmp/lint
Linter raw log:
/tmp/lint/package-lock.json:2906:17 - Unknown word (hasha)
/tmp/lint/package-lock.json:2964:7 - Unknown word (tootallnate)
/tmp/lint/package-lock.json:3101:17 - Unknown word (imurmurhash)
/tmp/lint/package-lock.json:3126:6 - Unknown word (wrappy)
/tmp/lint/package-lock.json:3163:20 - Unknown word (arrayish)
/tmp/lint/package-lock.json:3192:15 - Unknown word (patreon)
/tmp/lint/package-lock.json:3252:20 - Unknown word (extglob)
/tmp/lint/package-lock.json:3276:9 - Unknown word (extglob)
/tmp/lint/package-lock.json:3446:17 - Unknown word (isarray)
/tmp/lint/package-lock.json:3452:17 - Unknown word (isexe)
/tmp/lint/package-lock.json:3465:13 - Unknown word (escaperegexp)
/tmp/lint/package-lock.json:3466:13 - Unknown word (isplainobject)
/tmp/lint/package-lock.json:3467:13 - Unknown word (isstring)
/tmp/lint/package-lock.json:3468:13 - Unknown word (uniqby)
/tmp/lint/package-lock.json:3519:30 - Unknown word (processinfo)
/tmp/lint/package-lock.json:3525:6 - Unknown word (archy)
/tmp/lint/package-lock.json:3537:30 - Unknown word (processinfo)
/tmp/lint/package-lock.json:3655:6 - Unknown word (argparse)
/tmp/lint/package-lock.json:3662:20 - Unknown word (xmlparser)
/tmp/lint/package-lock.json:3668:6 - Unknown word (xmlcreate)
/tmp/lint/package-lock.json:3681:9 - Unknown word (xmlparser)
/tmp/lint/package-lock.json:3682:6 - Unknown word (klaw)
/tmp/lint/package-lock.json:3687:6 - Unknown word (requizzle)
/tmp/lint/package-lock.json:3689:6 - Unknown word (taffydb)
/tmp/lint/package-lock.json:3708:17 - Unknown word (jsesc)
/tmp/lint/package-lock.json:3714:6 - Unknown word (jsesc)
/tmp/lint/package-lock.json:3714:19 - Unknown word (jsesc)
/tmp/lint/package-lock.json:3766:6 - Unknown word (universalify)
/tmp/lint/package-lock.json:3772:17 - Unknown word (jsonparse)
/tmp/lint/package-lock.json:3787:6 - Unknown word (jsonparse)
/tmp/lint/package-lock.json:3797:17 - Unknown word (keyv)
/tmp/lint/package-lock.json:3815:17 - Unknown word (klaw)
/tmp/lint/package-lock.json:3842:17 - Unknown word (linkify)
/tmp/lint/package-lock.json:3859:6 - Unknown word (pify)
/tmp/lint/package-lock.json:3891:24 - Unknown word (escaperegexp)
/tmp/lint/package-lock.json:3897:24 - Unknown word (flattendeep)
/tmp/lint/package-lock.json:3903:24 - Unknown word (ismatch)
/tmp/lint/package-lock.json:3909:24 - Unknown word (isplainobject)
/tmp/lint/package-lock.json:3915:24 - Unknown word (isstring)
/tmp/lint/package-lock.json:3921:24 - Unknown word (toarray)
/tmp/lint/package-lock.json:3927:24 - Unknown word (uniqby)
/tmp/lint/package-lock.json:3960:6 - Unknown word (yallist)
/tmp/lint/package-lock.json:4017:6 - Unknown word (argparse)
/tmp/lint/package-lock.json:4019:6 - Unknown word (linkify)
/tmp/lint/package-lock.json:4020:6 - Unknown word (mdurl)
/tmp/lint/package-lock.json:4135:17 - Unknown word (mdurl)
/tmp/lint/package-lock.json:4154:6 - Unknown word (redent)
/tmp/lint/package-lock.json:4251:6 - Unknown word (picomatch)
/tmp/lint/package-lock.json:4320:6 - Unknown word (arrify)
/tmp/lint/package-lock.json:4369:12 - Unknown word (unparser)
/tmp/lint/package-lock.json:4379:14 - Unknown word (opencollective)
/tmp/lint/package-lock.json:4449:13 - Unknown word (toarray)
/tmp/lint/package-lock.json:4458:13 - Unknown word (getownpropertydescriptors)
/tmp/lint/package-lock.json:4494:6 - Unknown word (pstree)
/tmp/lint/package-lock.json:4494:13 - Unknown word (remy)
/tmp/lint/package-lock.json:4498:6 - Unknown word (undefsafe)
/tmp/lint/package-lock.json:4508:14 - Unknown word (opencollective)
/tmp/lint/package-lock.json:4572:6 - Unknown word (ansicolors)
/tmp/lint/package-lock.json:4573:6 - Unknown word (ansistyles)
/tmp/lint/package-lock.json:4574:6 - Unknown word (aproba)
/tmp/lint/package-lock.json:4575:6 - Unknown word (archy)
/tmp/lint/package-lock.json:4579:6 - Unknown word (cacache)
/tmp/lint/package-lock.json:4581:6 - Unknown word (chownr)
/tmp/lint/package-lock.json:4586:6 - Unknown word (columnify)
/tmp/lint/package-lock.json:4591:6 - Unknown word (dezalgo)
/tmp/lint/package-lock.json:4593:6 - Unknown word (figgy)
/tmp/lint/package-lock.json:4602:6 - Unknown word (iferr)
/tmp/lint/package-lock.json:4603:6 - Unknown word (imurmurhash)
/tmp/lint/package-lock.json:4613:6 - Unknown word (libcipm)
/tmp/lint/package-lock.json:4614:6 - Unknown word (libnpm)
/tmp/lint/package-lock.json:4615:6 - Unknown word (libnpmaccess)
/tmp/lint/package-lock.json:4616:6 - Unknown word (libnpmhook)
/tmp/lint/package-lock.json:4617:6 - Unknown word (libnpmorg)
/tmp/lint/package-lock.json:4618:6 - Unknown word (libnpmsearch)
/tmp/lint/package-lock.json:4619:6 - Unknown word (libnpmteam)
/tmp/lint/package-lock.json:4620:6 - Unknown word (libnpx)
/tmp/lint/package-lock.json:4623:14 - Unknown word (baseindexof)
/tmp/lint/package-lock.json:4624:14 - Unknown word (baseuniq)
/tmp/lint/package-lock.json:4625:14 - Unknown word (bindcallback)
/tmp/lint/package-lock.json:4626:14 - Unknown word (cacheindexof)
/tmp/lint/package-lock.json:4627:14 - Unknown word (createcache)
/tmp/lint/package-lock.json:4628:14 - Unknown word (getnative)
/tmp/lint/package-lock.json:4629:13 - Unknown word (clonedeep)
/tmp/lint/package-lock.json:4630:13 - Unknown word (restparam)
/tmp/lint/package-lock.json:4647:10 - Unknown word (packlist)
/tmp/lint/package-lock.json:4652:6 - Unknown word (npmlog)
/tmp/lint/package-lock.json:4655:6 - Unknown word (osenv)
/tmp/lint/package-lock.json:4656:6 - Unknown word (pacote)
/tmp/lint/package-lock.json:4659:6 - Unknown word (qrcode)
/tmp/lint/package-lock.json:4678:6 - Unknown word (ssri)
/tmp/lint/package-lock.json:4695:6 - Unknown word (agentkeepalive)
/tmp/lint/package-lock.json:4703:6 - Unknown word (asynckit)
/tmp/lint/package-lock.json:4711:6 - Unknown word (builtins)
/tmp/lint/package-lock.json:4715:6 - Unknown word (caseless)
/tmp/lint/package-lock.json:4736:6 - Unknown word (dashdash)
/tmp/lint/package-lock.json:4748:6 - Unknown word (duplexify)
/tmp/lint/package-lock.json:4749:10 - Unknown word (jsbn)
/tmp/lint/package-lock.json:4763:6 - Unknown word (extsprintf)
/tmp/lint/package-lock.json:4769:9 - Unknown word (minipass)
/tmp/lint/package-lock.json:4773:6 - Unknown word (genfun)
/tmp/lint/package-lock.json:4776:6 - Unknown word (getpass)
/tmp/lint/package-lock.json:4808:6 - Unknown word (isarray)
/tmp/lint/package-lock.json:4809:6 - Unknown word (isexe)
/tmp/lint/package-lock.json:4810:6 - Unknown word (isstream)
/tmp/lint/package-lock.json:4811:6 - Unknown word (jsbn)
/tmp/lint/package-lock.json:4814:6 - Unknown word (jsonparse)
/tmp/lint/package-lock.json:4815:6 - Unknown word (jsprim)
/tmp/lint/package-lock.json:4817:6 - Unknown word (libnpmconfig)
/tmp/lint/package-lock.json:4818:6 - Unknown word (libnpmpublish)
/tmp/lint/package-lock.json:4819:14 - Unknown word (createset)
/tmp/lint/package-lock.json:4828:6 - Unknown word (minizlib)
/tmp/lint/package-lock.json:4840:13 - Unknown word (getownpropertydescriptors)
/tmp/lint/package-lock.json:4851:6 - Unknown word (pify)
/tmp/lint/package-lock.json:4853:14 - Unknown word (nextick)
/tmp/lint/package-lock.json:4855:6 - Unknown word (promzard)
/tmp/lint/package-lock.json:4857:6 - Unknown word (protoduck)
/tmp/lint/package-lock.json:4859:6 - Unknown word (pseudomap)
/tmp/lint/package-lock.json:4862:6 - Unknown word (pumpify)
/tmp/lint/package-lock.json:4881:6 - Unknown word (spdx)
/tmp/lint/package-lock.json:4882:6 - Unknown word (spdx)
/tmp/lint/package-lock.json:4883:6 - Unknown word (spdx)
/tmp/lint/package-lock.json:4884:6 - Unknown word (spdx)
/tmp/lint/package-lock.json:4886:6 - Unknown word (sshpk)
/tmp/lint/package-lock.json:4903:6 - Unknown word (tweetnacl)
/tmp/lint/package-lock.json:4914:6 - Unknown word (wcwidth)
/tmp/lint/package-lock.json:4919:6 - Unknown word (wrappy)
/tmp/lint/package-lock.json:4923:6 - Unknown word (yallist)
/tmp/lint/package-lock.json:4930:6 - Unknown word (ansicolors)
/tmp/lint/package-lock.json:4931:6 - Unknown word (ansistyles)
/tmp/lint/package-lock.json:4932:6 - Unknown word (aproba)
/tmp/lint/package-lock.json:4933:6 - Unknown word (archy)
/tmp/lint/package-lock.json:4937:6 - Unknown word (cacache)
/tmp/lint/package-lock.json:4939:6 - Unknown word (chownr)
/tmp/lint/package-lock.json:4944:6 - Unknown word (columnify)
/tmp/lint/package-lock.json:4949:6 - Unknown word (dezalgo)
/tmp/lint/package-lock.json:4951:6 - Unknown word (figgy)
/tmp/lint/package-lock.json:4960:6 - Unknown word (iferr)
/tmp/lint/package-lock.json:4961:6 - Unknown word (imurmurhash)
/tmp/lint/package-lock.json:4971:6 - Unknown word (libcipm)
/tmp/lint/package-lock.json:4972:6 - Unknown word (libnpm)
/tmp/lint/package-lock.json:4973:6 - Unknown word (libnpmaccess)
/tmp/lint/package-lock.json:4974:6 - Unknown word (libnpmhook)
/tmp/lint/package-lock.json:4975:6 - Unknown word (libnpmorg)
/tmp/lint/package-lock.json:4976:6 - Unknown word (libnpmsearch)
/tmp/lint/package-lock.json:4977:6 - Unknown word (libnpmteam)
/tmp/lint/package-lock.json:4978:6 - Unknown word (libnpx)
/tmp/lint/package-lock.json:4981:14 - Unknown word (baseindexof)
/tmp/lint/package-lock.json:4982:14 - Unknown word (baseuniq)
/tmp/lint/package-lock.json:4983:14 - Unknown word (bindcallback)
/tmp/lint/package-lock.json:4984:14 - Unknown word (cacheindexof)
/tmp/lint/package-lock.json:4985:14 - Unknown word (createcache)
/tmp/lint/package-lock.json:4986:14 - Unknown word (getnative)
/tmp/lint/package-lock.json:4987:13 - Unknown word (clonedeep)
/tmp/lint/package-lock.json:4988:13 - Unknown word (restparam)
/tmp/lint/package-lock.json:5005:10 - Unknown word (packlist)
/tmp/lint/package-lock.json:5010:6 - Unknown word (npmlog)
/tmp/lint/package-lock.json:5013:6 - Unknown word (osenv)
/tmp/lint/package-lock.json:5014:6 - Unknown word (pacote)
/tmp/lint/package-lock.json:5017:6 - Unknown word (qrcode)
/tmp/lint/package-lock.json:5036:6 - Unknown word (ssri)
/tmp/lint/package-lock.json:5095:34 - Unknown word (agentkeepalive)
/tmp/lint/package-lock.json:5153:34 - Unknown word (ansistyles)
/tmp/lint/package-lock.json:5161:34 - Unknown word (aproba)
/tmp/lint/package-lock.json:5199:6 - Unknown word (isarray)
/tmp/lint/package-lock.json:5200:14 - Unknown word (nextick)
/tmp/lint/package-lock.json:5247:34 - Unknown word (asynckit)
/tmp/lint/package-lock.json:5291:6 - Unknown word (tweetnacl)
/tmp/lint/package-lock.json:5358:34 - Unknown word (builtins)
/tmp/lint/package-lock.json:5388:34 - Unknown word (cacache)
/tmp/lint/package-lock.json:5397:6 - Unknown word (chownr)
/tmp/lint/package-lock.json:5398:6 - Unknown word (figgy)
/tmp/lint/package-lock.json:5408:6 - Unknown word (ssri)
/tmp/lint/package-lock.json:5443:34 - Unknown word (caseless)
/tmp/lint/package-lock.json:5467:34 - Unknown word (chownr)
/tmp/lint/package-lock.json:5672:34 - Unknown word (columnify)
/tmp/lint/package-lock.json:5681:6 - Unknown word (wcwidth)
/tmp/lint/package-lock.json:5733:6 - Unknown word (isarray)
/tmp/lint/package-lock.json:5734:14 - Unknown word (nextick)
/tmp/lint/package-lock.json:5797:6 - Unknown word (aproba)
/tmp/lint/package-lock.json:5799:6 - Unknown word (iferr)
/tmp/lint/package-lock.json:5813:65 - Unknown word (iferr)
/tmp/lint/package-lock.json:5864:6 - Unknown word (pseudomap)
/tmp/lint/package-lock.json:5865:6 - Unknown word (yallist)
/tmp/lint/package-lock.json:5868:59 - Unknown word (yallist)
/tmp/lint/package-lock.json:5894:34 - Unknown word (dashdash)
/tmp/lint/package-lock.json:6037:34 - Unknown word (dezalgo)
/tmp/lint/package-lock.json:6046:6 - Unknown word (wrappy)
/tmp/lint/package-lock.json:6082:34 - Unknown word (duplexify)
/tmp/lint/package-lock.json:6096:34 - Unknown word (duplexify)
/tmp/lint/package-lock.json:6107:14 - Unknown word (nextick)
/tmp/lint/package-lock.json:6113:34 - Unknown word (duplexify)
/tmp/lint/package-lock.json:6124:38 - Unknown word (jsbn)
/tmp/lint/package-lock.json:6133:6 - Unknown word (jsbn)
/tmp/lint/package-lock.json:6311:34 - Unknown word (extsprintf)
/tmp/lint/package-lock.json:6330:34 - Unknown word (figgy)
/tmp/lint/package-lock.json:6405:6 - Unknown word (asynckit)
/tmp/lint/package-lock.json:6453:37 - Unknown word (minipass)
/tmp/lint/package-lock.json:6461:6 - Unknown word (minipass)
/tmp/lint/package-lock.json:6464:37 - Unknown word (minipass)
/tmp/lint/package-lock.json:6499:6 - Unknown word (imurmurhash)
/tmp/lint/package-lock.json:6597:34 - Unknown word (genfun)
/tmp/lint/package-lock.json:6667:34 - Unknown word (getpass)
/tmp/lint/package-lock.json:6902:6 - Unknown word (jsprim)
/tmp/lint/package-lock.json:6903:6 - Unknown word (sshpk)
/tmp/lint/package-lock.json:7011:6 - Unknown word (wrappy)
/tmp/lint/package-lock.json:7040:6 - Unknown word (promzard)
/tmp/lint/package-lock.json:7267:34 - Unknown word (isexe)
/tmp/lint/package-lock.json:7275:34 - Unknown word (isstream)
/tmp/lint/package-lock.json:7315:34 - Unknown word (jsonparse)
/tmp/lint/package-lock.json:7344:34 - Unknown word (jsprim)
/tmp/lint/package-lock.json:7356:6 - Unknown word (extsprintf)
/tmp/lint/package-lock.json:7383:34 - Unknown word (libcipm)
/tmp/lint/package-lock.json:7402:6 - Unknown word (pacote)
/tmp/lint/package-lock.json:7408:34 - Unknown word (libnpm)
/tmp/lint/package-lock.json:7419:6 - Unknown word (libnpmaccess)
/tmp/lint/package-lock.json:7420:6 - Unknown word (libnpmconfig)
/tmp/lint/package-lock.json:7421:6 - Unknown word (libnpmhook)
/tmp/lint/package-lock.json:7422:6 - Unknown word (libnpmorg)
/tmp/lint/package-lock.json:7423:6 - Unknown word (libnpmpublish)
/tmp/lint/package-lock.json:7424:6 - Unknown word (libnpmsearch)
/tmp/lint/package-lock.json:7425:6 - Unknown word (libnpmteam)
/tmp/lint/package-lock.json:7432:6 - Unknown word (npmlog)
/tmp/lint/package-lock.json:7433:6 - Unknown word (pacote)
/tmp/lint/package-lock.json:7438:34 - Unknown word (libnpmaccess)
/tmp/lint/package-lock.json:7452:34 - Unknown word (libnpmconfig)
/tmp/lint/package-lock.json:7465:34 - Unknown word (libnpmconfig)
/tmp/lint/package-lock.json:7533:34 - Unknown word (libnpmhook)
/tmp/lint/package-lock.json:7547:34 - Unknown word (libnpmorg)
/tmp/lint/package-lock.json:7561:34 - Unknown word (libnpmpublish)
/tmp/lint/package-lock.json:7572:13 - Unknown word (clonedeep)
/tmp/lint/package-lock.json:7577:6 - Unknown word (ssri)
/tmp/lint/package-lock.json:7580:34 - Unknown word (libnpmsearch)
/tmp/lint/package-lock.json:7593:34 - Unknown word (libnpmteam)
/tmp/lint/package-lock.json:7607:34 - Unknown word (libnpx)
/tmp/lint/package-lock.json:7651:42 - Unknown word (baseindexof)
/tmp/lint/package-lock.json:7659:42 - Unknown word (baseuniq)
/tmp/lint/package-lock.json:7667:14 - Unknown word (createset)
/tmp/lint/package-lock.json:7671:42 - Unknown word (bindcallback)
/tmp/lint/package-lock.json:7679:42 - Unknown word (cacheindexof)
/tmp/lint/package-lock.json:7687:42 - Unknown word (createcache)
/tmp/lint/package-lock.json:7695:14 - Unknown word (getnative)
/tmp/lint/package-lock.json:7698:42 - Unknown word (createset)
/tmp/lint/package-lock.json:7706:42 - Unknown word (getnative)
/tmp/lint/package-lock.json:7722:41 - Unknown word (clonedeep)
/tmp/lint/package-lock.json:7730:41 - Unknown word (restparam)
/tmp/lint/package-lock.json:7792:6 - Unknown word (pify)
/tmp/lint/package-lock.json:7806:6 - Unknown word (agentkeepalive)
/tmp/lint/package-lock.json:7807:6 - Unknown word (cacache)
/tmp/lint/package-lock.json:7874:34 - Unknown word (minizlib)
/tmp/lint/package-lock.json:7885:34 - Unknown word (minizlib)
/tmp/lint/package-lock.json:7912:6 - Unknown word (pumpify)
/tmp/lint/package-lock.json:8011:6 - Unknown word (npmlog)
/tmp/lint/package-lock.json:8034:6 - Unknown word (osenv)
/tmp/lint/package-lock.json:8150:6 - Unknown word (osenv)
/tmp/lint/package-lock.json:8155:38 - Unknown word (packlist)
/tmp/lint/package-lock.json:8222:15 - Unknown word (patreon)
/tmp/lint/package-lock.json:8313:41 - Unknown word (getownpropertydescriptors)
/tmp/lint/package-lock.json:8345:17 - Unknown word (WTFPL)
/tmp/lint/package-lock.json:8436:10 - Unknown word (packlist)
/tmp/lint/package-lock.json:8442:6 - Unknown word (protoduck)
/tmp/lint/package-lock.json:8533:17 - Unknown word (WTFPL)
/tmp/lint/package-lock.json:8562:34 - Unknown word (pify)
/tmp/lint/package-lock.json:8626:34 - Unknown word (promzard)
/tmp/lint/package-lock.json:8645:34 - Unknown word (protoduck)
/tmp/lint/package-lock.json:8653:6 - Unknown word (genfun)
/tmp/lint/package-lock.json:8664:34 - Unknown word (pseudomap)
/tmp/lint/package-lock.json:8692:34 - Unknown word (pumpify)
/tmp/lint/package-lock.json:8705:34 - Unknown word (pumpify)
/tmp/lint/package-lock.json:8725:34 - Unknown word (qrcode)
/tmp/lint/package-lock.json:8732:6 - Unknown word (qrcode)
/tmp/lint/package-lock.json:8888:6 - Unknown word (dezalgo)
/tmp/lint/package-lock.json:8929:6 - Unknown word (caseless)
/tmp/lint/package-lock.json:8937:6 - Unknown word (isstream)
/tmp/lint/package-lock.json:9193:17 - Unknown word (WTFPL)
/tmp/lint/package-lock.json:9300:34 - Unknown word (sshpk)
/tmp/lint/package-lock.json:9311:6 - Unknown word (dashdash)
/tmp/lint/package-lock.json:9313:6 - Unknown word (getpass)
/tmp/lint/package-lock.json:9316:6 - Unknown word (tweetnacl)
/tmp/lint/package-lock.json:9319:6 - Unknown word (sshpk)
/tmp/lint/package-lock.json:9319:12 - Unknown word (conv)
/tmp/lint/package-lock.json:9319:30 - Unknown word (conv)
/tmp/lint/package-lock.json:9330:6 - Unknown word (tweetnacl)
/tmp/lint/package-lock.json:9554:6 - Unknown word (minizlib)
/tmp/lint/package-lock.json:9699:16 - Unknown word (Unlicense)
/tmp/lint/package-lock.json:9870:13 - Unknown word (getownpropertydescriptors)
/tmp/lint/package-lock.json:9904:6 - Unknown word (builtins)
/tmp/lint/package-lock.json:9920:6 - Unknown word (extsprintf)
/tmp/lint/package-lock.json:9923:34 - Unknown word (wcwidth)
/tmp/lint/package-lock.json:10321:19 - Unknown word (processinfo)
/tmp/lint/package-lock.json:10588:17 - Unknown word (onigasm)
/tmp/lint/package-lock.json:10597:17 - Unknown word (onigasm)
/tmp/lint/package-lock.json:10606:17 - Unknown word (onigasm)
/tmp/lint/package-lock.json:10728:6 - Unknown word (hasha)
/tmp/lint/package-lock.json:10729:13 - Unknown word (flattendeep)
/tmp/lint/package-lock.json:10730:14 - Unknown word (zalgo)
/tmp/lint/package-lock.json:10766:6 - Unknown word (callsites)
/tmp/lint/package-lock.json:10827:17 - Unknown word (pathval)
/tmp/lint/package-lock.json:10836:17 - Unknown word (picomatch)
/tmp/lint/package-lock.json:11007:6 - Unknown word (fromentries)
/tmp/lint/package-lock.json:11022:17 - Unknown word (pstree)
/tmp/lint/package-lock.json:11022:24 - Unknown word (remy)
/tmp/lint/package-lock.json:11071:15 - Unknown word (patreon)
/tmp/lint/package-lock.json:11247:17 - Unknown word (readdirp)
/tmp/lint/package-lock.json:11259:17 - Unknown word (rechoir)
/tmp/lint/package-lock.json:11271:17 - Unknown word (redent)
/tmp/lint/package-lock.json:11284:17 - Unknown word (redeyed)
/tmp/lint/package-lock.json:11317:25 - Unknown word (zalgo)
/tmp/lint/package-lock.json:11344:17 - Unknown word (requizzle)
/tmp/lint/package-lock.json:11375:17 - Unknown word (responselike)
/tmp/lint/package-lock.json:11393:17 - Unknown word (reusify)
/tmp/lint/package-lock.json:11399:6 - Unknown word (iojs)
/tmp/lint/package-lock.json:11471:6 - Unknown word (cosmiconfig)
/tmp/lint/package-lock.json:11491:6 - Unknown word (signale)
/tmp/lint/package-lock.json:11781:6 - Unknown word (rechoir)
/tmp/lint/package-lock.json:11784:6 - Unknown word (shjs)
/tmp/lint/package-lock.json:11784:18 - Unknown word (shjs)
/tmp/lint/package-lock.json:11790:17 - Unknown word (shiki)
/tmp/lint/package-lock.json:11796:6 - Unknown word (onigasm)
/tmp/lint/package-lock.json:11806:17 - Unknown word (signale)
/tmp/lint/package-lock.json:11820:17 - Unknown word (signale)
/tmp/lint/package-lock.json:11967:17 - Unknown word (sprintf)
/tmp/lint/package-lock.json:12006:34 - Unknown word (trimend)
/tmp/lint/package-lock.json:12019:34 - Unknown word (trimstart)
/tmp/lint/package-lock.json:12132:17 - Unknown word (taffydb)
/tmp/lint/package-lock.json:12147:17 - Unknown word (tempy)
/tmp/lint/package-lock.json:12166:17 - Unknown word (tempy)
/tmp/lint/package-lock.json:12301:6 - Unknown word (nodetouch)
/tmp/lint/package-lock.json:12301:23 - Unknown word (nodetouch)
/tmp/lint/package-lock.json:12405:17 - Unknown word (typedoc)
/tmp/lint/package-lock.json:12420:6 - Unknown word (shiki)
/tmp/lint/package-lock.json:12421:6 - Unknown word (typedoc)
/tmp/lint/package-lock.json:12492:6 - Unknown word (uglifyjs)
/tmp/lint/package-lock.json:12492:22 - Unknown word (uglifyjs)
/tmp/lint/package-lock.json:12498:17 - Unknown word (undefsafe)
/tmp/lint/package-lock.json:12507:17 - Unknown word (undefsafe)
/tmp/lint/package-lock.json:12516:17 - Unknown word (undefsafe)
/tmp/lint/package-lock.json:12546:17 - Unknown word (universalify)
/tmp/lint/package-lock.json:12780:17 - Unknown word (wordwrap)
/tmp/lint/package-lock.json:12877:17 - Unknown word (xmlcreate)
/tmp/lint/package-lock.json:12941:23 - Unknown word (unparser)
/tmp/lint/package-lock.json:13041:6 - Unknown word (gensync)
/tmp/lint/package-lock.json:13096:33 - Unknown word (arity)
/tmp/lint/package-lock.json:13101:31 - Unknown word (arity)
/tmp/lint/package-lock.json:13338:16 - Unknown word (scandir)
/tmp/lint/package-lock.json:13360:18 - Unknown word (scandir)
/tmp/lint/package-lock.json:13361:6 - Unknown word (fastq)
/tmp/lint/package-lock.json:13409:13 - Unknown word (openapi)
/tmp/lint/package-lock.json:13486:15 - Unknown word (openapi)
/tmp/lint/package-lock.json:13586:6 - Unknown word (globby)
/tmp/lint/package-lock.json:13632:6 - Unknown word (tempy)
/tmp/lint/package-lock.json:13755:5 - Unknown word (sindresorhus)
/tmp/lint/package-lock.json:13761:5 - Unknown word (szmarczak)
/tmp/lint/package-lock.json:13770:5 - Unknown word (tootallnate)
/tmp/lint/package-lock.json:13953:4 - Unknown word (anymatch)
/tmp/lint/package-lock.json:13984:4 - Unknown word (argparse)
/tmp/lint/package-lock.json:13990:6 - Unknown word (sprintf)
/tmp/lint/package-lock.json:14011:4 - Unknown word (arrify)
/tmp/lint/package-lock.json:14166:6 - Unknown word (keyv)
/tmp/lint/package-lock.json:14169:6 - Unknown word (responselike)
/tmp/lint/package-lock.json:14195:6 - Unknown word (hasha)
/tmp/lint/package-lock.json:14211:4 - Unknown word (callsites)
/tmp/lint/package-lock.json:14241:6 - Unknown word (redeyed)
/tmp/lint/package-lock.json:14263:6 - Unknown word (pathval)
/tmp/lint/package-lock.json:14301:6 - Unknown word (anymatch)
/tmp/lint/package-lock.json:14303:6 - Unknown word (fsevents)
/tmp/lint/package-lock.json:14308:6 - Unknown word (readdirp)
/tmp/lint/package-lock.json:14420:4 - Unknown word (commondir)
/tmp/lint/package-lock.json:14515:13 - Unknown word (ismatch)
/tmp/lint/package-lock.json:14549:4 - Unknown word (cosmiconfig)
/tmp/lint/package-lock.json:14820:9 - Unknown word (arrayish)
/tmp/lint/package-lock.json:14841:23 - Unknown word (trimend)
/tmp/lint/package-lock.json:14842:23 - Unknown word (trimstart)
/tmp/lint/package-lock.json:14942:4 - Unknown word (fastq)
/tmp/lint/package-lock.json:14948:6 - Unknown word (reusify)
/tmp/lint/package-lock.json:14975:6 - Unknown word (commondir)
/tmp/lint/package-lock.json:15027:4 - Unknown word (fromentries)
/tmp/lint/package-lock.json:15042:6 - Unknown word (universalify)
/tmp/lint/package-lock.json:15064:4 - Unknown word (gensync)
/tmp/lint/package-lock.json:15201:7 - Unknown word (sindresorhus)
/tmp/lint/package-lock.json:15202:7 - Unknown word (szmarczak)
/tmp/lint/package-lock.json:15236:6 - Unknown word (wordwrap)
/tmp/lint/package-lock.json:15318:7 - Unknown word (tootallnate)
/tmp/lint/package-lock.json:15468:7 - Unknown word (arrayish)
/tmp/lint/package-lock.json:15519:7 - Unknown word (extglob)
/tmp/lint/package-lock.json:15537:9 - Unknown word (extglob)
/tmp/lint/package-lock.json:15669:13 - Unknown word (escaperegexp)
/tmp/lint/package-lock.json:15670:13 - Unknown word (isplainobject)
/tmp/lint/package-lock.json:15671:13 - Unknown word (isstring)
/tmp/lint/package-lock.json:15672:13 - Unknown word (uniqby)
/tmp/lint/package-lock.json:15710:17 - Unknown word (processinfo)
/tmp/lint/package-lock.json:15824:7 - Unknown word (xmlparser)
/tmp/lint/package-lock.json:15830:6 - Unknown word (xmlcreate)
/tmp/lint/package-lock.json:15843:9 - Unknown word (xmlparser)
/tmp/lint/package-lock.json:15844:6 - Unknown word (klaw)
/tmp/lint/package-lock.json:15849:6 - Unknown word (requizzle)
/tmp/lint/package-lock.json:15851:6 - Unknown word (taffydb)
/tmp/lint/package-lock.json:15928:4 - Unknown word (keyv)
/tmp/lint/package-lock.json:15943:4 - Unknown word (klaw)
/tmp/lint/package-lock.json:15967:4 - Unknown word (linkify)
/tmp/lint/package-lock.json:16010:11 - Unknown word (escaperegexp)
/tmp/lint/package-lock.json:16016:11 - Unknown word (flattendeep)
/tmp/lint/package-lock.json:16022:11 - Unknown word (ismatch)
/tmp/lint/package-lock.json:16028:11 - Unknown word (isplainobject)
/tmp/lint/package-lock.json:16034:11 - Unknown word (isstring)
/tmp/lint/package-lock.json:16040:11 - Unknown word (toarray)
/tmp/lint/package-lock.json:16046:11 - Unknown word (uniqby)
/tmp/lint/package-lock.json:16119:6 - Unknown word (linkify)
/tmp/lint/package-lock.json:16120:6 - Unknown word (mdurl)
/tmp/lint/package-lock.json:16202:4 - Unknown word (mdurl)
/tmp/lint/package-lock.json:16221:6 - Unknown word (redent)
/tmp/lint/package-lock.json:16338:6 - Unknown word (arrify)
/tmp/lint/package-lock.json:16378:12 - Unknown word (unparser)
/tmp/lint/package-lock.json:16437:13 - Unknown word (toarray)
/tmp/lint/package-lock.json:16475:6 - Unknown word (pstree)
/tmp/lint/package-lock.json:16475:13 - Unknown word (remy)
/tmp/lint/package-lock.json:16535:6 - Unknown word (ansistyles)
/tmp/lint/package-lock.json:16548:6 - Unknown word (columnify)
/tmp/lint/package-lock.json:16575:6 - Unknown word (libcipm)
/tmp/lint/package-lock.json:16576:6 - Unknown word (libnpm)
/tmp/lint/package-lock.json:16582:6 - Unknown word (libnpx)
/tmp/lint/package-lock.json:16585:14 - Unknown word (baseindexof)
