Results of stylelint linter (version 13.9.0)
See documentation on https://nvuillam.github.io/mega-linter/descriptors/css_stylelint/
-----------------------------------------------

❌ [ERROR] doc/assets/css/main.css
    
    doc/assets/css/main.css
      336:7    ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      338:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      340:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      345:18   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      347:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      349:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      354:1    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      356:17   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      368:1    ✖  Expected empty line before rule                                                                                                                                                                                                                                                           rule-empty-line-before                
      368:21   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      370:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      372:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      374:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      377:1    ✖  Expected empty line before rule                                                                                                                                                                                                                                                           rule-empty-line-before                
      379:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      382:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      385:1    ✖  Expected empty line before rule                                                                                                                                                                                                                                                           rule-empty-line-before                
      385:49   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      393:1    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      396:1    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      398:25   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      408:3    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      413:1    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      416:1    ✖  Expected empty line before comment                                                                                                                                                                                                                                                        comment-empty-line-before             
      423:40   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:42   ✖  Expected selector ".tsd-panel > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                           no-descending-specificity             
      423:67   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:69   ✖  Expected selector ".col > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                                 no-descending-specificity             
      423:88   ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:90   ✖  Expected selector ".col-11 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                              no-descending-specificity             
      423:112  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
